Epoch,Loss,MRR,Hit@1,Hit@10,Hit@30,Hit@50,Hit@100
0,0.4135,0.5491,0.4184,0.8051,0.8670,0.8868,0.9081
1,0.3312,0.5720,0.4441,0.8247,0.8814,0.9004,0.9198
2,0.2986,0.5876,0.4597,0.8350,0.8943,0.9134,0.9304
3,0.2610,0.5927,0.4662,0.8437,0.9006,0.9162,0.9374
4,0.2587,0.6030,0.4763,0.8470,0.9079,0.9215,0.9387
5,0.2433,0.6131,0.4883,0.8551,0.9105,0.9229,0.9419
6,0.2400,0.6109,0.4864,0.8559,0.9138,0.9287,0.9449
7,0.2311,0.6003,0.4709,0.8545,0.9128,0.9273,0.9431
8,0.2188,0.5878,0.4545,0.8504,0.9119,0.9259,0.9449
9,0.2025,0.6020,0.4737,0.8522,0.9121,0.9296,0.9449
10,0.1974,0.6146,0.4887,0.8628,0.9206,0.9350,0.9484
11,0.2022,0.6133,0.4862,0.8666,0.9217,0.9360,0.9518
12,0.1725,0.6004,0.4715,0.8536,0.9150,0.9302,0.9474
13,0.1752,0.5932,0.4599,0.8559,0.9146,0.9300,0.9486
14,0.1706,0.5804,0.4453,0.8492,0.9018,0.9168,0.9393
15,0.1698,0.5727,0.4385,0.8397,0.9010,0.9188,0.9370
16,0.1881,0.5535,0.4142,0.8352,0.8978,0.9160,0.9324
17,0.1643,0.5390,0.4010,0.8186,0.8919,0.9091,0.9279
18,0.1674,0.5345,0.3974,0.8148,0.8850,0.9030,0.9213
19,0.1606,0.5219,0.3830,0.8034,0.8798,0.8980,0.9194
20,0.1502,0.5205,0.3804,0.8022,0.8743,0.8949,0.9204
21,0.1534,0.5155,0.3747,0.8121,0.8828,0.9024,0.9221
22,0.1414,0.5069,0.3670,0.7935,0.8721,0.8937,0.9170
23,0.1649,0.5132,0.3721,0.8010,0.8787,0.8964,0.9206
24,0.1656,0.5001,0.3587,0.7887,0.8725,0.8937,0.9213
25,0.1532,0.5115,0.3723,0.7966,0.8739,0.8962,0.9221
26,0.1365,0.5127,0.3706,0.8049,0.8804,0.9002,0.9237
27,0.1542,0.4908,0.3494,0.7846,0.8700,0.8911,0.9184
28,0.1626,0.5041,0.3615,0.7925,0.8737,0.8958,0.9174
29,0.1407,0.4995,0.3577,0.7905,0.8711,0.8915,0.9176
30,0.1406,0.4997,0.3563,0.7943,0.8743,0.8974,0.9202
31,0.1451,0.4909,0.3482,0.7830,0.8690,0.8937,0.9180
32,0.1476,0.5009,0.3585,0.7960,0.8785,0.9024,0.9225
33,0.1504,0.5017,0.3613,0.7883,0.8666,0.8937,0.9188
34,0.1613,0.4986,0.3585,0.7848,0.8632,0.8903,0.9146
35,0.1580,0.4857,0.3439,0.7792,0.8615,0.8850,0.9134
36,0.1349,0.5038,0.3589,0.7955,0.8777,0.9004,0.9223
37,0.1348,0.5015,0.3585,0.7945,0.8694,0.8955,0.9223
38,0.1390,0.5100,0.3630,0.8042,0.8777,0.8990,0.9257
39,0.1405,0.4933,0.3492,0.7903,0.8690,0.8937,0.9215
40,0.1454,0.5032,0.3577,0.7964,0.8725,0.8960,0.9164
41,0.1341,0.4975,0.3506,0.7978,0.8719,0.8990,0.9198
42,0.1456,0.5123,0.3700,0.8028,0.8767,0.8976,0.9182
43,0.1394,0.5007,0.3565,0.7966,0.8698,0.8958,0.9188
44,0.1398,0.5242,0.3810,0.8180,0.8828,0.9036,0.9263
45,0.1468,0.4971,0.3522,0.7887,0.8686,0.8951,0.9227
46,0.1402,0.5108,0.3642,0.8119,0.8826,0.9026,0.9259
47,0.1335,0.5097,0.3636,0.8075,0.8826,0.9047,0.9281
48,0.1373,0.5213,0.3781,0.8111,0.8791,0.8986,0.9209
49,0.1373,0.5172,0.3721,0.8138,0.8804,0.9008,0.9265
