Epoch,Loss,MRR,Hit@1,Hit@10,Hit@30,Hit@50,Hit@100
0,0.3922,0.5424,0.4156,0.8059,0.8607,0.8747,0.8945
1,0.3064,0.5531,0.4251,0.8142,0.8725,0.8872,0.9043
2,0.2748,0.5607,0.4320,0.8243,0.8763,0.8905,0.9095
3,0.2471,0.5636,0.4362,0.8235,0.8763,0.8931,0.9083
4,0.2400,0.5703,0.4437,0.8291,0.8854,0.8978,0.9142
5,0.2312,0.5723,0.4411,0.8354,0.8891,0.9030,0.9166
6,0.2317,0.5735,0.4445,0.8375,0.8893,0.9036,0.9190
7,0.2051,0.5816,0.4494,0.8457,0.8958,0.9081,0.9213
8,0.2138,0.5837,0.4528,0.8468,0.8970,0.9115,0.9235
9,0.2148,0.5858,0.4522,0.8480,0.8980,0.9107,0.9231
10,0.2139,0.5871,0.4543,0.8510,0.8998,0.9111,0.9229
11,0.2261,0.5876,0.4561,0.8514,0.8978,0.9091,0.9211
12,0.2117,0.5856,0.4516,0.8516,0.8970,0.9091,0.9198
13,0.2097,0.5893,0.4571,0.8551,0.9016,0.9121,0.9241
14,0.2055,0.5922,0.4597,0.8569,0.9026,0.9128,0.9221
15,0.1979,0.5939,0.4603,0.8603,0.9067,0.9166,0.9273
16,0.2067,0.5932,0.4599,0.8605,0.9051,0.9152,0.9257
17,0.1965,0.5929,0.4603,0.8601,0.9042,0.9146,0.9249
18,0.1964,0.5926,0.4591,0.8617,0.9085,0.9174,0.9287
19,0.1831,0.5891,0.4530,0.8599,0.9047,0.9152,0.9249
20,0.1831,0.5879,0.4528,0.8599,0.9049,0.9144,0.9259
21,0.1744,0.5912,0.4565,0.8601,0.9042,0.9156,0.9271
22,0.2015,0.5891,0.4551,0.8573,0.9040,0.9156,0.9267
23,0.1730,0.5874,0.4528,0.8571,0.9020,0.9136,0.9237
24,0.1853,0.5825,0.4476,0.8557,0.9028,0.9142,0.9263
25,0.1779,0.5796,0.4453,0.8530,0.9020,0.9138,0.9257
26,0.1788,0.5768,0.4427,0.8492,0.8966,0.9121,0.9255
27,0.1692,0.5739,0.4381,0.8458,0.8978,0.9089,0.9253
28,0.1892,0.5692,0.4322,0.8460,0.8951,0.9081,0.9231
29,0.1621,0.5679,0.4328,0.8439,0.8913,0.9065,0.9215
30,0.1803,0.5663,0.4304,0.8405,0.8899,0.9032,0.9208
31,0.1831,0.5590,0.4225,0.8362,0.8864,0.9018,0.9184
32,0.1656,0.5589,0.4223,0.8375,0.8850,0.8990,0.9160
33,0.1755,0.5519,0.4152,0.8342,0.8814,0.8955,0.9162
34,0.1753,0.5512,0.4150,0.8294,0.8822,0.8970,0.9138
35,0.1537,0.5483,0.4121,0.8291,0.8812,0.8953,0.9132
36,0.1728,0.5460,0.4097,0.8243,0.8791,0.8929,0.9132
37,0.1730,0.5408,0.4026,0.8263,0.8779,0.8901,0.9103
38,0.1458,0.5388,0.4014,0.8200,0.8792,0.8909,0.9115
39,0.1825,0.5356,0.3976,0.8202,0.8775,0.8927,0.9103
40,0.1620,0.5365,0.3990,0.8188,0.8751,0.8927,0.9085
41,0.1443,0.5289,0.3907,0.8140,0.8723,0.8907,0.9075
42,0.1622,0.5319,0.3949,0.8154,0.8741,0.8923,0.9095
43,0.1736,0.5212,0.3810,0.8109,0.8686,0.8854,0.9012
44,0.1527,0.5255,0.3879,0.8095,0.8717,0.8868,0.9061
45,0.1574,0.5201,0.3812,0.8097,0.8694,0.8818,0.9047
46,0.1516,0.5213,0.3806,0.8093,0.8688,0.8850,0.9042
47,0.1504,0.5185,0.3791,0.8093,0.8670,0.8840,0.9026
48,0.1645,0.5145,0.3751,0.8053,0.8670,0.8820,0.9042
49,0.1544,0.5123,0.3731,0.8008,0.8636,0.8826,0.9032
