Epoch,Loss,MRR,Hit@1,Hit@10,Hit@30,Hit@50,Hit@100
0,0.6323,0.1696,0.1106,0.2626,0.3352,0.4123,0.5106
1,0.5294,0.0864,0.0715,0.1229,0.1922,0.2413,0.3721
2,0.4873,0.1409,0.0916,0.2134,0.3128,0.3609,0.5162
3,0.4574,0.2805,0.1855,0.4648,0.5765,0.6514,0.7542
4,0.4324,0.3628,0.2514,0.5765,0.6782,0.7285,0.8089
5,0.4135,0.3693,0.2626,0.5933,0.7006,0.7508,0.8134
6,0.3961,0.3567,0.2425,0.5922,0.6961,0.7453,0.8156
7,0.3797,0.3490,0.2246,0.6067,0.7140,0.7553,0.8201
8,0.3691,0.3600,0.2425,0.6067,0.7207,0.7486,0.8067
9,0.3544,0.3583,0.2358,0.6078,0.7240,0.7587,0.8190
10,0.3464,0.3676,0.2525,0.6056,0.7151,0.7542,0.8201
11,0.3350,0.3487,0.2190,0.6034,0.7307,0.7642,0.8246
12,0.3313,0.3558,0.2291,0.6067,0.7061,0.7497,0.8201
13,0.3202,0.3590,0.2279,0.6123,0.7307,0.7732,0.8302
14,0.3078,0.3566,0.2279,0.6134,0.7352,0.7754,0.8257
15,0.3080,0.3764,0.2514,0.6212,0.7318,0.7777,0.8391
16,0.2962,0.3738,0.2447,0.6436,0.7385,0.7788,0.8413
17,0.2844,0.3820,0.2492,0.6380,0.7397,0.7765,0.8324
18,0.2800,0.3562,0.2179,0.6156,0.7318,0.7709,0.8123
19,0.2672,0.3722,0.2447,0.6291,0.7352,0.7810,0.8302
20,0.2661,0.3688,0.2324,0.6279,0.7397,0.7799,0.8223
21,0.2700,0.3545,0.2201,0.6190,0.7318,0.7698,0.8134
22,0.2658,0.3516,0.2179,0.6123,0.7184,0.7620,0.8101
23,0.2656,0.3849,0.2447,0.6547,0.7441,0.7866,0.8302
24,0.2640,0.3588,0.2223,0.6212,0.7430,0.7698,0.8268
25,0.2653,0.3622,0.2223,0.6313,0.7352,0.7709,0.8235
26,0.2598,0.3659,0.2246,0.6335,0.7207,0.7620,0.8279
27,0.2409,0.3694,0.2324,0.6313,0.7296,0.7709,0.8235
28,0.2458,0.3392,0.2156,0.6022,0.7229,0.7676,0.8112
29,0.2449,0.3616,0.2201,0.6279,0.7352,0.7721,0.8190
30,0.2371,0.3523,0.2179,0.6134,0.7251,0.7642,0.8123
31,0.2404,0.3391,0.2223,0.6011,0.7050,0.7531,0.8056
32,0.2493,0.3366,0.2145,0.5944,0.7184,0.7598,0.8045
33,0.2296,0.3417,0.2201,0.6022,0.7106,0.7598,0.8056
34,0.2348,0.3559,0.2291,0.6246,0.7240,0.7654,0.8123
35,0.2323,0.3473,0.2279,0.6212,0.7240,0.7676,0.8156
36,0.2282,0.3487,0.2212,0.5978,0.7028,0.7564,0.8078
37,0.2356,0.3332,0.2078,0.5899,0.7073,0.7486,0.7944
38,0.2188,0.3532,0.2201,0.6078,0.7251,0.7698,0.8190
39,0.2380,0.3619,0.2268,0.6022,0.7196,0.7609,0.8179
40,0.2213,0.3459,0.2212,0.6123,0.7196,0.7620,0.8101
41,0.2256,0.3477,0.2212,0.6045,0.7207,0.7665,0.8134
42,0.2238,0.3422,0.2168,0.5944,0.7050,0.7598,0.8089
43,0.2269,0.3200,0.2134,0.5810,0.7017,0.7441,0.7966
44,0.2168,0.3374,0.2168,0.5911,0.7106,0.7609,0.8101
45,0.2352,0.3155,0.2168,0.5810,0.6950,0.7363,0.7922
46,0.2276,0.3067,0.2000,0.5542,0.6849,0.7240,0.7911
47,0.2214,0.3019,0.2022,0.5676,0.6804,0.7240,0.7832
48,0.2147,0.3074,0.2078,0.5564,0.6804,0.7251,0.7777
49,0.2179,0.3064,0.2067,0.5676,0.6804,0.7263,0.7855
