Epoch,Loss,MRR,Hit@1,Hit@10,Hit@30,Hit@50,Hit@100
0,0.5701,0.0221,0.0092,0.0374,0.0725,0.0970,0.1454
1,0.4707,0.1182,0.0771,0.1870,0.2632,0.3241,0.4275
2,0.4216,0.2993,0.2248,0.4414,0.5531,0.6016,0.6768
3,0.3847,0.4198,0.3236,0.5960,0.6971,0.7392,0.8010
4,0.3587,0.4376,0.3407,0.6233,0.7290,0.7664,0.8292
5,0.3431,0.4640,0.3670,0.6491,0.7424,0.7807,0.8453
6,0.3087,0.4698,0.3643,0.6644,0.7539,0.7941,0.8555
7,0.3049,0.4856,0.3818,0.6754,0.7627,0.7955,0.8532
8,0.2864,0.4834,0.3777,0.6717,0.7673,0.8010,0.8481
9,0.2685,0.5021,0.4049,0.6805,0.7636,0.7959,0.8476
10,0.2604,0.5137,0.4164,0.6893,0.7692,0.8033,0.8513
11,0.2539,0.5117,0.4090,0.6967,0.7761,0.8052,0.8610
12,0.2391,0.5172,0.4160,0.6999,0.7770,0.8116,0.8624
13,0.2335,0.5294,0.4307,0.7068,0.7798,0.8144,0.8583
14,0.2347,0.5335,0.4363,0.7068,0.7761,0.8070,0.8564
15,0.2285,0.5370,0.4414,0.7078,0.7825,0.8116,0.8578
16,0.2194,0.5351,0.4404,0.7105,0.7812,0.8126,0.8555
17,0.2237,0.5351,0.4386,0.7073,0.7789,0.8079,0.8587
18,0.2057,0.5366,0.4400,0.7054,0.7853,0.8098,0.8601
19,0.2074,0.5274,0.4284,0.7041,0.7738,0.8052,0.8550
20,0.2079,0.5312,0.4367,0.7041,0.7765,0.8070,0.8615
21,0.2012,0.5379,0.4488,0.6976,0.7793,0.8098,0.8610
22,0.1959,0.5334,0.4386,0.7031,0.7858,0.8176,0.8606
23,0.2006,0.5346,0.4455,0.6990,0.7765,0.8084,0.8606
24,0.1885,0.5312,0.4386,0.7004,0.7830,0.8107,0.8620
25,0.1936,0.5209,0.4238,0.6976,0.7756,0.8066,0.8583
26,0.1971,0.5210,0.4266,0.6953,0.7789,0.8084,0.8629
27,0.1925,0.5220,0.4289,0.6916,0.7779,0.8089,0.8615
28,0.1873,0.5285,0.4372,0.6916,0.7779,0.8084,0.8615
29,0.1842,0.5112,0.4178,0.6837,0.7678,0.8006,0.8564
30,0.1733,0.5121,0.4146,0.6902,0.7682,0.8047,0.8587
31,0.1692,0.5139,0.4174,0.6874,0.7705,0.8056,0.8592
32,0.1767,0.5073,0.4081,0.6907,0.7696,0.8121,0.8629
33,0.1798,0.5040,0.4067,0.6847,0.7632,0.8070,0.8583
34,0.1815,0.5050,0.4077,0.6865,0.7715,0.8126,0.8652
35,0.1706,0.4992,0.4012,0.6819,0.7692,0.8107,0.8633
36,0.1654,0.4968,0.3989,0.6810,0.7682,0.8126,0.8573
37,0.1755,0.5100,0.4151,0.6888,0.7756,0.8232,0.8790
38,0.1599,0.4836,0.3818,0.6782,0.7627,0.8056,0.8596
39,0.1584,0.4789,0.3763,0.6764,0.7641,0.8061,0.8596
40,0.1581,0.4849,0.3846,0.6773,0.7673,0.8126,0.8638
41,0.1663,0.4693,0.3666,0.6685,0.7576,0.8056,0.8550
42,0.1676,0.4823,0.3781,0.6796,0.7655,0.8149,0.8670
43,0.1539,0.4744,0.3693,0.6764,0.7604,0.8102,0.8652
44,0.1616,0.4694,0.3620,0.6713,0.7641,0.8144,0.8583
45,0.1566,0.4577,0.3481,0.6616,0.7562,0.8066,0.8546
46,0.1593,0.4663,0.3587,0.6708,0.7655,0.8149,0.8670
47,0.1518,0.4715,0.3643,0.6782,0.7710,0.8218,0.8661
48,0.1512,0.4573,0.3463,0.6699,0.7604,0.8158,0.8643
49,0.1546,0.4710,0.3633,0.6754,0.7724,0.8199,0.8693
