,Hit@1,Hit@10,Hit@30,Hit@50,Hit@100,MRR,std@1,std@10,std@30,std@50,std@100,std_MRR
Douban_(attr-0.0_strong),0.203,0.543,0.674,0.726,0.789,0.324,0.007,0.007,0.014,0.012,0.011,0.007
Douban_(attr-0.1_strong),0.145,0.447,0.588,0.639,0.715,0.254,0.006,0.021,0.016,0.013,0.014,0.010
Douban_(attr-0.2_strong),0.148,0.453,0.594,0.654,0.726,0.251,0.009,0.032,0.019,0.026,0.018,0.013
Douban_(attr-0.3_strong),0.137,0.429,0.568,0.620,0.692,0.249,0.021,0.042,0.037,0.037,0.037,0.027
Douban_(attr-0.4_strong),0.140,0.450,0.595,0.650,0.725,0.262,0.009,0.009,0.011,0.009,0.005,0.006
Douban_(attr-0.5_strong),0.142,0.450,0.579,0.634,0.720,0.248,0.015,0.025,0.017,0.019,0.016,0.016
Douban_(attr-0.6_strong),0.143,0.447,0.581,0.634,0.713,0.253,0.011,0.012,0.009,0.010,0.014,0.010
Douban_(attr-0.7_strong),0.137,0.442,0.581,0.638,0.719,0.251,0.008,0.012,0.019,0.023,0.021,0.014
Douban_(attr-0.8_strong),0.139,0.443,0.585,0.643,0.729,0.256,0.018,0.019,0.017,0.021,0.014,0.013
Douban_(attr-0.9_strong),0.141,0.451,0.593,0.649,0.727,0.256,0.006,0.022,0.012,0.009,0.011,0.013
Douban_(attr-0.1_strong),0.151,0.442,0.583,0.639,0.718,0.254,0.007,0.015,0.015,0.014,0.015,0.013
Douban_(attr-0.2_strong),0.157,0.441,0.586,0.644,0.719,0.256,0.012,0.023,0.018,0.014,0.010,0.016
Douban_(attr-0.3_strong),0.147,0.440,0.587,0.644,0.716,0.252,0.014,0.018,0.020,0.016,0.016,0.014
Douban_(attr-0.1_strong),0.099,0.290,0.427,0.496,0.590,0.165,0.005,0.015,0.019,0.017,0.019,0.003
Douban_(attr-0.2_strong),0.098,0.301,0.435,0.498,0.583,0.160,0.004,0.023,0.023,0.022,0.026,0.006
Douban_(attr-0.3_strong),0.106,0.305,0.432,0.504,0.604,0.170,0.004,0.028,0.032,0.034,0.036,0.006
Douban_(attr-0.4_strong),0.105,0.313,0.464,0.530,0.623,0.170,0.003,0.010,0.020,0.026,0.027,0.007
Douban_(attr-0.5_strong),0.103,0.315,0.459,0.522,0.611,0.172,0.011,0.032,0.028,0.030,0.028,0.010
Douban_(attr-0.6_strong),0.105,0.307,0.448,0.503,0.586,0.171,0.005,0.018,0.024,0.026,0.033,0.005
Douban_(attr-0.7_strong),0.111,0.317,0.454,0.511,0.607,0.172,0.012,0.020,0.019,0.020,0.020,0.012
Douban_(attr-0.8_strong),0.109,0.312,0.455,0.512,0.610,0.172,0.005,0.010,0.011,0.013,0.010,0.003
Douban_(attr-0.9_strong),0.107,0.318,0.461,0.528,0.628,0.174,0.007,0.024,0.033,0.029,0.025,0.009
