Epoch,Loss,MRR,Hit@1,Hit@10,Hit@30,Hit@50,Hit@100
0,1.3841,0.0015,0.0000,0.0008,0.0062,0.0085,0.0225
1,0.9024,0.0016,0.0000,0.0008,0.0078,0.0109,0.0233
2,0.7606,0.0352,0.0202,0.0575,0.0862,0.1033,0.1352
3,0.6168,0.0470,0.0303,0.0699,0.0971,0.1197,0.1601
4,0.4768,0.0406,0.0264,0.0660,0.1002,0.1212,0.1601
5,0.4479,0.0638,0.0396,0.1088,0.1492,0.1725,0.2230
6,0.4297,0.0795,0.0490,0.1383,0.1935,0.2246,0.2797
7,0.4156,0.0854,0.0474,0.1546,0.2121,0.2479,0.3147
8,0.4046,0.0898,0.0505,0.1647,0.2393,0.2766,0.3458
9,0.3973,0.0954,0.0559,0.1733,0.2494,0.2844,0.3528
10,0.3851,0.0933,0.0528,0.1748,0.2494,0.2883,0.3574
11,0.3709,0.0984,0.0567,0.1810,0.2572,0.3046,0.3683
12,0.3628,0.0982,0.0544,0.1772,0.2618,0.3085,0.3714
13,0.3509,0.1019,0.0575,0.1911,0.2681,0.3124,0.3831
14,0.3495,0.1043,0.0629,0.1873,0.2774,0.3256,0.3994
15,0.3334,0.1055,0.0622,0.1919,0.2751,0.3248,0.4017
16,0.3445,0.1028,0.0583,0.1974,0.2789,0.3326,0.3963
17,0.3359,0.1109,0.0660,0.2051,0.2976,0.3427,0.4149
18,0.3202,0.1145,0.0660,0.2145,0.2937,0.3442,0.4172
19,0.3226,0.1121,0.0653,0.2067,0.2960,0.3419,0.4149
20,0.3153,0.1108,0.0629,0.2106,0.3007,0.3566,0.4219
21,0.3073,0.1160,0.0637,0.2199,0.3069,0.3520,0.4227
22,0.3155,0.1172,0.0684,0.2168,0.3108,0.3566,0.4305
23,0.2981,0.1176,0.0668,0.2199,0.3108,0.3613,0.4305
24,0.2932,0.1199,0.0676,0.2191,0.3108,0.3636,0.4312
25,0.2989,0.1180,0.0668,0.2222,0.3124,0.3675,0.4312
26,0.2911,0.1176,0.0653,0.2269,0.3092,0.3699,0.4351
27,0.2789,0.1200,0.0692,0.2253,0.3162,0.3753,0.4452
28,0.2814,0.1232,0.0692,0.2331,0.3248,0.3800,0.4398
29,0.2867,0.1230,0.0707,0.2385,0.3294,0.3776,0.4429
30,0.2776,0.1242,0.0723,0.2308,0.3326,0.3846,0.4452
31,0.2650,0.1233,0.0699,0.2339,0.3287,0.3823,0.4437
32,0.2626,0.1265,0.0730,0.2370,0.3271,0.3885,0.4452
33,0.2688,0.1245,0.0723,0.2354,0.3287,0.3893,0.4460
34,0.2580,0.1302,0.0754,0.2471,0.3326,0.3893,0.4545
35,0.2522,0.1280,0.0738,0.2362,0.3294,0.3939,0.4522
36,0.2582,0.1325,0.0785,0.2533,0.3341,0.3916,0.4530
37,0.2524,0.1315,0.0769,0.2502,0.3388,0.3854,0.4491
38,0.2548,0.1331,0.0808,0.2502,0.3403,0.3908,0.4545
39,0.2452,0.1327,0.0769,0.2517,0.3372,0.3963,0.4530
40,0.2473,0.1352,0.0839,0.2463,0.3388,0.3893,0.4538
41,0.2483,0.1352,0.0800,0.2564,0.3434,0.3916,0.4483
42,0.2411,0.1370,0.0847,0.2533,0.3380,0.3916,0.4545
43,0.2384,0.1375,0.0855,0.2533,0.3442,0.3916,0.4569
