Epoch,Loss,MRR,Hit@1,Hit@10,Hit@30,Hit@50,Hit@100
0,0.7851,0.0947,0.0325,0.2188,0.4525,0.5288,0.6562
1,0.5355,0.0952,0.0275,0.2188,0.5062,0.6587,0.7987
2,0.5017,0.1339,0.0488,0.3125,0.6325,0.8013,0.9175
3,0.4887,0.1522,0.0688,0.3250,0.6512,0.8213,0.9525
4,0.3962,0.1707,0.0725,0.3700,0.6925,0.8550,0.9688
5,0.4392,0.1674,0.0700,0.3688,0.6875,0.8237,0.9675
6,0.3426,0.1787,0.0762,0.3950,0.6813,0.8438,0.9725
7,0.3876,0.1723,0.0712,0.3800,0.6637,0.8200,0.9650
8,0.3212,0.1736,0.0737,0.3887,0.6787,0.8313,0.9800
9,0.3557,0.1607,0.0638,0.3600,0.6687,0.8125,0.9637
10,0.3046,0.1764,0.0688,0.3975,0.6887,0.8313,0.9738
11,0.5001,0.1699,0.0800,0.3762,0.6625,0.8137,0.9650
12,0.4463,0.1598,0.0600,0.3563,0.6613,0.8087,0.9650
13,0.4215,0.1795,0.0725,0.4075,0.6925,0.8275,0.9725
14,0.4100,0.1684,0.0625,0.3675,0.6575,0.8250,0.9688
15,0.3866,0.1730,0.0762,0.3862,0.6787,0.8200,0.9725
16,0.2689,0.1782,0.0725,0.3937,0.6913,0.8350,0.9750
17,0.2568,0.1775,0.0737,0.3850,0.6837,0.8287,0.9750
18,0.4846,0.1816,0.0762,0.4100,0.6763,0.8150,0.9700
19,0.2976,0.1834,0.0762,0.4200,0.6975,0.8413,0.9800
20,0.2621,0.1810,0.0725,0.4088,0.6837,0.8325,0.9738
21,0.2844,0.1798,0.0737,0.4062,0.6837,0.8275,0.9788
22,0.2860,0.1760,0.0700,0.4037,0.6963,0.8275,0.9762
23,0.2369,0.1766,0.0663,0.4113,0.6913,0.8300,0.9812
24,0.2364,0.1748,0.0675,0.4075,0.6950,0.8263,0.9788
25,0.2981,0.1677,0.0575,0.3987,0.6937,0.8213,0.9775
26,0.1955,0.1807,0.0725,0.3912,0.6950,0.8313,0.9800
27,0.2410,0.1806,0.0700,0.4138,0.6900,0.8300,0.9788
28,0.2967,0.1744,0.0700,0.3962,0.6975,0.8325,0.9775
29,0.1968,0.1757,0.0663,0.4012,0.6937,0.8263,0.9800
30,0.3098,0.1859,0.0762,0.4075,0.6875,0.8337,0.9800
31,0.2433,0.1796,0.0700,0.4075,0.6913,0.8275,0.9800
32,0.1685,0.1739,0.0663,0.4050,0.6925,0.8300,0.9788
33,0.2373,0.1785,0.0675,0.4150,0.6863,0.8237,0.9788
34,0.2489,0.1871,0.0762,0.4200,0.6800,0.8175,0.9788
35,0.1976,0.1721,0.0612,0.4062,0.6963,0.8250,0.9775
36,0.2227,0.1797,0.0700,0.4213,0.7037,0.8313,0.9800
37,0.2437,0.1791,0.0663,0.4225,0.6863,0.8300,0.9775
38,0.2231,0.1806,0.0725,0.4263,0.7063,0.8313,0.9812
39,0.1558,0.1722,0.0638,0.4263,0.6937,0.8287,0.9775
40,0.3253,0.1828,0.0725,0.4213,0.7013,0.8325,0.9838
41,0.2128,0.1773,0.0650,0.4138,0.6925,0.8300,0.9825
42,0.3422,0.1754,0.0638,0.4138,0.7000,0.8313,0.9812
43,0.3003,0.1753,0.0638,0.4113,0.7025,0.8337,0.9838
44,0.2074,0.1787,0.0700,0.4200,0.6975,0.8287,0.9812
45,0.2926,0.1833,0.0712,0.4263,0.6975,0.8337,0.9788
46,0.3146,0.1829,0.0725,0.4263,0.6975,0.8300,0.9812
47,0.1902,0.1823,0.0737,0.4150,0.6987,0.8325,0.9788
48,0.1863,0.1791,0.0675,0.4250,0.7013,0.8363,0.9812
49,0.2666,0.1846,0.0737,0.4225,0.7013,0.8350,0.9800
50,0.1511,0.1810,0.0663,0.4125,0.7050,0.8313,0.9812
51,0.2756,0.1832,0.0712,0.4213,0.7013,0.8375,0.9788
52,0.1688,0.1856,0.0712,0.4288,0.7000,0.8337,0.9812
53,0.2667,0.1922,0.0887,0.4263,0.7000,0.8325,0.9838
54,0.1810,0.1780,0.0688,0.4188,0.7125,0.8387,0.9812
55,0.2391,0.1792,0.0663,0.4188,0.6937,0.8450,0.9825
56,0.2457,0.1805,0.0663,0.4200,0.7050,0.8325,0.9825
57,0.2243,0.1760,0.0638,0.4163,0.6987,0.8325,0.9812
58,0.2011,0.1806,0.0663,0.4225,0.7100,0.8287,0.9800
59,0.2925,0.1914,0.0800,0.4350,0.7063,0.8275,0.9888
60,0.1881,0.1811,0.0663,0.4300,0.6937,0.8337,0.9800
61,0.3213,0.1836,0.0712,0.4188,0.6950,0.8313,0.9812
62,0.1874,0.1841,0.0688,0.4250,0.7087,0.8350,0.9812
63,0.1987,0.1833,0.0712,0.4238,0.7063,0.8413,0.9812
64,0.2074,0.1796,0.0712,0.4250,0.7113,0.8425,0.9800
65,0.1744,0.1869,0.0800,0.4200,0.7163,0.8400,0.9812
66,0.2677,0.1785,0.0675,0.4088,0.7087,0.8375,0.9812
67,0.2053,0.1847,0.0712,0.4263,0.7037,0.8438,0.9800
68,0.1494,0.1823,0.0688,0.4250,0.7137,0.8438,0.9788
69,0.2008,0.1818,0.0700,0.4275,0.7125,0.8413,0.9825
70,0.2557,0.1806,0.0663,0.4225,0.7087,0.8387,0.9825
71,0.3150,0.1825,0.0675,0.4263,0.7050,0.8387,0.9825
72,0.1604,0.1806,0.0700,0.4238,0.7037,0.8438,0.9788
73,0.1816,0.1850,0.0688,0.4363,0.7188,0.8512,0.9838
74,0.2824,0.1814,0.0675,0.4275,0.6963,0.8438,0.9800
75,0.2914,0.1842,0.0688,0.4263,0.7025,0.8337,0.9775
76,0.2615,0.1780,0.0638,0.4350,0.7087,0.8462,0.9825
77,0.2242,0.1832,0.0675,0.4238,0.7137,0.8375,0.9812
78,0.1827,0.1854,0.0712,0.4313,0.7037,0.8425,0.9812
79,0.1904,0.1840,0.0712,0.4338,0.7013,0.8400,0.9800
80,0.2024,0.1817,0.0675,0.4412,0.7113,0.8363,0.9812
81,0.1482,0.1854,0.0737,0.4275,0.7013,0.8375,0.9800
82,0.1049,0.1877,0.0750,0.4412,0.7025,0.8425,0.9812
83,0.2143,0.1824,0.0688,0.4325,0.7087,0.8350,0.9788
84,0.1747,0.1813,0.0663,0.4338,0.7113,0.8387,0.9775
85,0.1428,0.1855,0.0725,0.4375,0.7013,0.8375,0.9788
86,0.1887,0.1878,0.0775,0.4325,0.7025,0.8488,0.9800
87,0.1357,0.1861,0.0750,0.4363,0.7013,0.8488,0.9812
88,0.1566,0.1839,0.0712,0.4300,0.7037,0.8475,0.9812
89,0.1576,0.1896,0.0762,0.4363,0.7013,0.8450,0.9812
90,0.2204,0.1906,0.0750,0.4313,0.7063,0.8387,0.9775
91,0.2096,0.1858,0.0712,0.4300,0.6975,0.8400,0.9788
92,0.1833,0.1881,0.0725,0.4475,0.7013,0.8438,0.9812
93,0.2050,0.1912,0.0788,0.4375,0.7037,0.8363,0.9762
94,0.1912,0.1867,0.0737,0.4387,0.7013,0.8387,0.9788
95,0.1852,0.1877,0.0750,0.4263,0.6987,0.8350,0.9788
